Guy Benchimol;L'Entreprise à l'heure de l'Economie de la Connaissance;Benchimol, Guy;;;;;2006;http://uag.cyberlibris.com/book/10126348;fr
L'Etudiant;Les métiers de l'environnement;Goiran, Roseline;Perez, Dominique;;978-2-8176-0043-7;;2010;http://uag.cyberlibris.com/book/45007158;fr
Les Belles Lettres;Histoire et morale dans les Vies Parallèles de Plutarque;Frazier, Françoise;;;978-2-251-32895-9;;2016;http://uag.cyberlibris.com/book/88833561;fr
CODESRIA;Academic Freedom and the Social Responsibilities of Academics in Tanzania;Chachage, L.;;;978-2-86978-243-3;978-2-86978-383-6;2008;http://uag.cyberlibris.com/book/88825005;en
World Trade Press;Panama Travel Complete Profile ;World Trade Press;;;;978-1-60780-758-2;2010;http://uag.cyberlibris.com/book/45005292;en
Editions MultiMondes;La fille préférée d'Alphonse Desjardins ou L'histoire de la Caisse populaire Desjardins de Lauzon, 1902-1995;Darhouani, Lahcen;;;978-2-921146-78-4;978-2-89544-226-4;1999;http://uag.cyberlibris.com/book/88816063;fr
Domaine public;La deux fois morte;Lermina, Jules;;;;;1895;http://uag.cyberlibris.com/book/45000417;fr
Editions Quae;Les pucerons des arbres fruitiers : Cycles biologiques et activités de vol;Hullé, Maurice;Turpeau, Evelyne;;978-2-7380-0789-6;978-2-7592-0545-5;1998;http://uag.cyberlibris.com/book/45007015;fr
Armand Colin;L'Afrique subsaharienne : Une géographie du changement Ed. 3;Dubresson, Alain;Moreau, Sophie;;978-2-200-27276-0;978-2-200-27383-5;2011;http://uag.cyberlibris.com/book/88819552;fr
Eyrolles;L'Antiquité romaine - 80 mots-clés pour découvrir l'histoire, la culture et la vie quotidienne à Rome.;Proust Tanguy, Julie;;;978-2-212-56463-1;978-2-212-13062-1;2016;http://uag.cyberlibris.com/book/88834351;fr
Ibis Rouge;Une sprinteuse en bout de piste ...;Gargar, Michelle;;;978-2-84450-193-6;978-2-84450-693-1;2002;http://uag.cyberlibris.com/book/45006809;fr
Elsevier Science;Ion Beam Treatment of Polymers : Application Aspects from Medicine to Space;Kondyurin, Alexey;Bilek, Marcela;;978-0-08-044692-9;978-0-08-055674-1;2010;http://uag.cyberlibris.com/book/88811921;en
Presses de l'Université du Québec;L'interve;;;ntion collective en environnement;Comeau, Yvan;;;978-2-7605-2573-3;978-2-7605-2574-0;2010;http://uag.cyberlibris.com/book/88801742;fr
World Trade Press;Turkey Women in Culture, Business & Travel;World Trade Press;;;;978-1-60780-271-6;2010;http://uag.cyberlibris.com/book/45004702;en
John Wiley & Sons;Delivering the Goods : The Art of Managing Your Supply Chain;Schechter, Damon;Sander, Gordon F.;;978-0-471-21114-3;;2002;http://uag.cyberlibris.com/book/10046729;en
EDP Sciences;Relativité restreinte : Des particules à l'astrophysique;Gourgoulhon, Éric;;;978-2-7598-0067-4;978-2-7598-0923-3;2010;http://uag.cyberlibris.com/book/88803116;fr
Springer;Fibonacci's De Practica Geometrie;Hughes, Barnabas;;;978-0-387-72930-5;978-0-387-72931-2;2008;http://uag.cyberlibris.com/book/88803757;en
Presses de l'Université du Québec;La fascination : Nouveau désir d'éternité;Des Aulniers, Luce;;;978-2-7605-2436-1;978-2-7605-2437-8;2009;http://uag.cyberlibris.com/book/88801699;fr
alfAbarre;La geste hilalienne : Quelques extraits;Al Abnoudi, Abdou Rahman;;;978-2-35759-000-7;;2008;http://uag.cyberlibris.com/book/45006374;fr
Couleurs livres;Les Roms : Chroniques d'une intégration impensée;Fastrès, Jacqueline;Ahkim, Ahmed;;978-2-87003-585-6;978-2-87003-717-1;2012;http://uag.cyberlibris.com/book/88820285;fr
Elsevier Science;Beginning Digital Electronics through Projects Ed. 2;Singmin, Andrew;;;978-0-7506-7269-6;978-0-08-049404-3;2000;http://uag.cyberlibris.com/book/40000609;en
Gualino;DCG 9 - Introduction à la comptabilité  : Manuel complet, applications et corrigés Ed. 3;Grandguillot, Béatrice;Grandguillot, Francis;;978-2-297-01089-4;;2008;http://uag.cyberlibris.com/book/10232296;fr
Taylor & Francis;Planning Research in Hospitality and Tourism;Altinay, Levent;Paraskevas, Alexandros;;978-0-7506-8110-0;978-0-08-055594-2;2008;http://uag.cyberlibris.com/book/45006517;en
Gualino;Mémento LMD - Droit international public Ed. 4;Deyra, Michel;;;978-2-297-03952-9;978-2-297-04133-1;2014;http://uag.cyberlibris.com/book/88823382;fr
Princeton University Press;Hawks at a Distance - Identification of Migrant Raptors;Liguori, Jerry;;;978-0-691-13558-8;978-1-4008-3826-4;2011;http://uag.cyberlibris.com/book/88833518;en
John Wiley & Sons;Experimental Mechanics of Solids;Sciammarella, Cesar A.;Sciammarella, Federico M.;;978-0-470-68953-0;978-1-119-99408-4;2012;http://uag.cyberlibris.com/book/88808440;en
Elsevier Science;Debugging Embedded Microprocessor Systems;Ball, Stuart R.;;;978-0-7506-9990-7;978-0-08-050380-6;1998;http://uag.cyberlibris.com/book/40000709;en
Gestion 2000;Quelle planification stratégique pour des organisations en mutation ? Le cas des groupes tunisiens;Saîd, Karim;;;;;2000;http://uag.cyberlibris.com/book/10057841;fr
Primento Editions;La Route de Cormac McCarthy (Fiche de lecture);lePetitLitteraire.fr;Mestrot, Julie;;978-2-8062-2612-9;978-2-8062-2610-5;2011;http://uag.cyberlibris.com/book/88807550;fr
Editions Sud Ouest;La Loire-Atlantique à vélo;Rio, Bernard;;;978-2-87901-847-8;;2008;http://uag.cyberlibris.com/book/45004061;fr
Albin Michel;Histoire d'une névrose, la France et son économie;Peyrelevade, Jean;;;978-2-226-25696-6;978-2-226-38505-5;2015;http://uag.cyberlibris.com/book/88826379;fr
Dunod;L'art de la guerre digitale : Survivre et dominer à l'ère du numérique;Faillet, Caroline;Rosnay, Joël de;;978-2-10-074828-0;978-2-10-075131-0;2016;http://uag.cyberlibris.com/book/88833810;fr
Springer;Regularity of Minimal Surfaces;Dierkes, Ulrich;Hildebrandt, Stefan;Tromba, Anthony J.;978-3-642-11699-5;978-3-642-11700-8;2010;http://uag.cyberlibris.com/book/88803906;en
Presses de l'Université du Québec;Le langage de la chasse : Récit autobiographique de Michel Grégoire, Montagnais de Natasquan;Dominique, Richard;;;978-2-7605-0535-3;978-2-7605-2221-3;1989;http://uag.cyberlibris.com/book/88801058;fr
Elsevier Science;Forecasting Volatility in the Financial Markets Ed. 3;Knight, John;Satchell, Stephen;;978-0-7506-6942-9;978-0-08-047142-6;2007;http://uag.cyberlibris.com/book/10230816;en
Eyrolles;WordPress 3 pour le blogueur efficace : Installation, personnalisation et nomadisme (iPhone/iPad, Android...);Bois, François-Xavier;Bois, Laurence;;978-2-212-12829-1;978-2-212-41632-9;2010;http://uag.cyberlibris.com/book/88800411;fr
World Trade Press;South Korea Society & Culture Complete Report;World Trade Press;;;;978-1-60780-430-7;2010;http://uag.cyberlibris.com/book/45004751;en
Editions Quae;Jardins d'Océanie;Walter, Annie;Lebot, Vincent;;978-2-87614-568-9;978-2-7592-0786-2;2003;http://uag.cyberlibris.com/book/45007058;fr
John Libbey;L'histoire des vaccinations Ed. 1;Bazin, Hervé;;;978-2-7420-0705-9;978-2-7420-1011-0;2008;http://uag.cyberlibris.com/book/88821224;fr
Editions Allia;Le découragement;Anton, Joanne;;;978-2-84485-383-7;978-2-84485-407-0;2011;http://uag.cyberlibris.com/book/88824613;fr
Gestion 2000;Proposition d'une démarche d'identification des compétences individuelles : le cas des métiers opérationnels de la logistique;Prévot, Frédéric;Sirjean-Soler, Stéphane;;;;2003;http://uag.cyberlibris.com/book/10060297;fr
Red-ediciones;Memoria sobre la vagancia en Cuba;Saco y López-Cisneros, José Antonio;;;978-84-9816-679-8;;2008;http://uag.cyberlibris.com/book/45002836;es
John Libbey;Les injections intracaverneuses;Virag, Ronald;;;978-2-7420-0477-5;978-2-7420-1352-4;2004;http://uag.cyberlibris.com/book/88821324;fr
